model,accuracy,precision,recall,f1
Linear SVM,0.8719851576994434,0.871044744102848,0.870303095800311,0.8706156238361729
Logistic Regression,0.8694341372912802,0.8681471137410345,0.8681452119445842,0.868143199448934
